Method,MeanPrecision,StdPrecision,MeanRecall,StdRecall,MeanF1,StdF1,MeanIoUCrack,StdIoUCrack,MeanmIoU,StdmIoU
Otsu,0.0502529444117433,0.0384616906681603,0.926685891057221,0.0463189888815743,0.0928568326886955,0.0651362838915509,0.0499180097637036,0.0379183018194465,0.279949532302714,0.0660544281985644
CLAHE + Canny,0.0797759182649282,0.0723256726501805,0.111307126101165,0.0505303402977617,0.0849567625769735,0.0572362217306009,0.0452785542861199,0.0322655491395848,0.491435066951452,0.024636481530781
Sauvola raw,0.477143069355289,0.244181031769077,0.58288481345074,0.174639092567697,0.458126634323728,0.179133606775453,0.313859212034681,0.153320534305043,0.636881396808144,0.0896506525531003
Sauvola + morphology,0.651570638051786,0.162921323769769,0.442999799885935,0.210432836861149,0.482368298423355,0.151875339523618,0.331120932391708,0.14112150114218,0.6546383136375,0.0749595612185011
