Image,Method,Precision,Recall,F1,IoUCrack,IoUBackground,mIoU
20160222_080933.jpg,Otsu,0.0444005693558015,0.912264150943396,0.0846797145234029,0.0442117776152158,0.676237823103966,0.360224800359591
20160222_080933.jpg,CLAHE + Canny,0.266381766381766,0.176415094339623,0.212258796821793,0.118730158730159,0.9787601952593,0.548745176994729
20160222_080933.jpg,Sauvola raw,0.915194346289753,0.733018867924528,0.814038763750655,0.686395759717314,0.994518136475239,0.840456948096277
20160222_080933.jpg,Sauvola + morphology,0.966625463535229,0.737735849056604,0.83681112894596,0.719411223551058,0.995289866263088,0.857350544907073
20160222_081839.jpg,Otsu,0.0324727288042792,0.983418367346939,0.0628694907652791,0.0324549587472638,0.645101520883193,0.338778239815228
20160222_081839.jpg,CLAHE + Canny,0.0128,0.0102040816326531,0.0113555713271824,0.00571020699500357,0.978741911854474,0.492226059424739
20160222_081839.jpg,Sauvola raw,0.596656217345872,0.728316326530612,0.655944859276278,0.488034188034188,0.990779650581082,0.739406919307635
20160222_081839.jpg,Sauvola + morphology,0.790836653386454,0.506377551020408,0.617418351477449,0.446569178852643,0.992446921199282,0.719508050025963
20160222_114759.jpg,Otsu,0.0812051852636784,0.96031746031746,0.149747598111057,0.0809336055762867,0.587156253459209,0.334044929517748
20160222_114759.jpg,CLAHE + Canny,0.0320314695139084,0.0476190476190476,0.038300016798253,0.0195238910772393,0.912491210907646,0.466007550992443
20160222_114759.jpg,Sauvola raw,0.683259911894273,0.647869674185464,0.665094339622641,0.498233215547703,0.975588028444167,0.736910621995935
20160222_114759.jpg,Sauvola + morphology,0.775677896466721,0.394319131161236,0.522846856826364,0.353955755530559,0.973324869952935,0.663640312741747
20160222_115305.jpg,Otsu,0.0219708707778122,0.976584022038568,0.0429749060492181,0.0219593025056524,0.512888148456662,0.267423725481157
20160222_115305.jpg,CLAHE + Canny,0.0429090909090909,0.081267217630854,0.0561637315564017,0.0288932419196866,0.969714556256395,0.499303899088041
20160222_115305.jpg,Sauvola raw,0.426966292134831,0.732782369146005,0.539553752535497,0.369444444444444,0.986031628822842,0.677738036633643
20160222_115305.jpg,Sauvola + morphology,0.680776014109347,0.53168044077135,0.597061098221191,0.425578831312018,0.992003069838833,0.708790950575426
20160222_163940.jpg,Otsu,0.100829138288422,0.940283051432516,0.182128171697924,0.100187575857884,0.610504362223779,0.355345969040831
20160222_163940.jpg,CLAHE + Canny,0.0742599096838936,0.102174663444943,0.0860090077001308,0.0449369971155306,0.903571428571429,0.47425421284348
20160222_163940.jpg,Sauvola raw,0.486569455103607,0.437694166379013,0.460839542067963,0.299409681227863,0.953833945353831,0.626621813290847
20160222_163940.jpg,Sauvola + morphology,0.630230572160547,0.254746289264757,0.36283185840708,0.221621621621622,0.959998765393994,0.590810193507808
20160222_164000.jpg,Otsu,0.100929664061632,0.951466480446927,0.182500083715635,0.100412705431498,0.611326041616914,0.355869373524206
20160222_164000.jpg,CLAHE + Canny,0.0367990654205607,0.0659916201117318,0.04725,0.0241966457559851,0.883361133640412,0.453778889698199
20160222_164000.jpg,Sauvola raw,0.532097770615095,0.691689944134078,0.601487778958555,0.430091185410334,0.958697191409016,0.694394188409675
20160222_164000.jpg,Sauvola + morphology,0.626496716879104,0.566340782122905,0.594901888868513,0.423388149308275,0.965437932221422,0.694413040764849
20160222_164141.jpg,Otsu,0.170860655737705,0.91305300043802,0.287854726230753,0.168125176432633,0.663858425538156,0.415991800985394
20160222_164141.jpg,CLAHE + Canny,0.0897250361794501,0.0678931230836619,0.0772970951252961,0.0402023083906108,0.886532977646951,0.463367643018781
20160222_164141.jpg,Sauvola raw,0.690121317157712,0.43604905825668,0.534424909408133,0.364652014652015,0.945408765441813,0.655030390046914
20160222_164141.jpg,Sauvola + morphology,0.746776084407972,0.139509417433202,0.235098726702344,0.133207862818904,0.936131527450346,0.534669695134625
20160222_165951.jpg,Otsu,0.042112444568487,0.973476702508961,0.0807324178110695,0.0420641803989592,0.518121474648633,0.280092827523796
20160222_165951.jpg,CLAHE + Canny,0.0451388888888889,0.0559139784946237,0.0499519692603266,0.025615763546798,0.954673225579761,0.49014449456328
20160222_165951.jpg,Sauvola raw,0.792848335388409,0.460931899641577,0.582955575702629,0.411388355726168,0.985822816020218,0.698605585873193
20160222_165951.jpg,Sauvola + morphology,0.765182186234818,0.135483870967742,0.23020706455542,0.130075705437027,0.980657107441811,0.555366406439419
20160225_114514.jpg,Otsu,0.0682271944922547,0.849671334667048,0.126311764455963,0.0674134373370218,0.342614644438406,0.205014040887714
20160225_114514.jpg,CLAHE + Canny,0.238754325259516,0.177479279794227,0.203606557377049,0.113341850702683,0.925163675575753,0.519252763139218
20160225_114514.jpg,Sauvola raw,0.554302670623145,0.266933409545584,0.360339506172839,0.219764705882353,0.94867031980434,0.584217512843347
20160225_114514.jpg,Sauvola + morphology,0.664658634538153,0.18919691340383,0.294549499443826,0.172710670493086,0.951120633844067,0.561915652168577
20160225_114531.jpg,Otsu,0.0291394713697172,0.933283914010378,0.0565144203793065,0.0290788987435329,0.346002458110988,0.187540678427261
20160225_114531.jpg,CLAHE + Canny,0.0524220305242203,0.0585618977020015,0.0553221288515406,0.0284479654303205,0.95878210122676,0.49361503332854
20160225_114531.jpg,Sauvola raw,0.570747217806041,0.532246108228317,0.550824702723437,0.38009528851244,0.981934030670493,0.681014659591467
20160225_114531.jpg,Sauvola + morphology,0.63115845539281,0.351371386212009,0.451428571428571,0.291512915129151,0.982293812056193,0.636903363592672
20160225_114535.jpg,Otsu,0.0374341654660967,0.893965031020869,0.0718592736999592,0.0372686872487009,0.359759816109209,0.198514251678955
20160225_114535.jpg,CLAHE + Canny,0.119715175789942,0.151720248166949,0.133830845771144,0.0717142095441216,0.946649914964684,0.509182062254403
20160225_114535.jpg,Sauvola raw,0.550632911392405,0.441624365482233,0.490140845070423,0.324626865671642,0.97484286442327,0.649734865047456
20160225_114535.jpg,Sauvola + morphology,0.62037037037037,0.34010152284264,0.439344262295082,0.281512605042017,0.976298646296952,0.628905625669484
